pdbid,-logKd/Ki
"10gs","6.40"
"11gs","5.82"
"13gs","4.62"
"16pk","5.22"
"185l","3.54"
"187l","3.37"
"188l","3.33"
"1a07","6.40"
"1a08","5.62"
"1a09","6.70"
"1a0q","7.57"
"1a0t","1.30"
"1a1b","6.40"
"6o3w","5.12"
"6o3x","6.25"
"6o3y","4.42"
"6o48","7.12"
"6o4w","8.47"
"6o4x","7.40"
"6o50","8.55"
"6o57","6.29"
"6o5a","6.29"
"6o5g","5.70"
"6o5t","6.50"
"6o5u","4.38"
"6o5x","7.66"
"6o68","4.99"
"6o6f","7.40"
"6h8s","4.42"
"6h9b","5.70"
"6h9v","0.66"
"6h9x","9.74"
"6ha4","3.97"
"6hah","4.81"
"6hai","7.94"
"6haj","4.97"
"6hax","7.59"
"6hay","7.01"
"6haz","7.00"
"6hb5","5.83"
"6hb6","7.36"
"6hb7","6.83"
"6hbm","5.02"
"6jjm","2.85"
"6jjn","4.11"
"6jjz","8.64"
"6jki","6.39"
"6jmf","8.59"
"6jn3","5.16"
"6jn5","5.15"
"6jn6","7.15"
"6jno","6.63"
"6joe","7.04"
"6jof","4.98"
"6jon","4.88"
"6jpj","8.21"
"6jse","8.77"
"6jsf","8.48"
"6jsg","8.34"
"6oz6","7.28"
"6p11","6.05"
"6p12","5.95"
"6p14","6.66"
"6p1d","7.41"
"6p1l","8.70"
"6p3p","6.84"
"6p3t","7.32"
"6p3u","7.02"
"6p3v","7.02"
"6a80","5.90"
"6a84","8.28"
"6a87","3.15"
"6a8g","6.61"
"6a93","8.16"
"6a94","7.40"
"6a9c","2.74"
"6a9o","5.24"
"6aa4","6.33"
"1a86","4.00"
"1abt","5.85"
"1akt","8.49"
"1ao8","8.22"
"1azg","4.80"
"1b2m","3.73"
"1b4d","4.81"
"1b5i","7.05"
"1bai","7.70"
"1bl6","6.80"
"1bnm","10.00"
"1bq3","5.40"
"1c3i","5.80"
"1c5x","6.68"
"1cs4","5.57"
"6mxe","4.26"
"6myn","7.85"
"6mzq","8.41"
"6mzw","8.41"
"6n0j","5.37"
"6n0k","5.07"
"6n0m","5.82"
"6n0p","8.89"
"6n0q","7.40"
"6n17","3.00"
"6n19","3.02"
"6n3e","4.72"
"6n3f","6.10"
"6qme","4.36"
"6qmj","7.36"
"6qmk","7.46"
"6qmr","7.92"
"6qmt","6.92"
"6qmu","5.32"
"6qpl","7.04"
"6qqq","5.17"
"6qqt","4.23"
"6e05","4.26"
"6e06","4.26"
"6e0r","7.70"
"6e13","6.70"
"6e1a","8.85"
"6e1y","7.66"
"6e1z","3.82"
"6e22","8.89"
"6ohd","9.38"
"6oht","6.45"
"6ohu","6.78"
"6oi8","7.82"
"6oi9","7.19"
"6oie","6.15"
"6oim","7.05"
"6oin","6.00"
"6oio","6.54"
"6oip","6.92"
"6oiq","6.57"
"6oir","7.77"
"6oja","9.70"
"6oko","6.74"
"6olx","5.38"
"6om2","7.75"
"6pml","3.09"
"6pnm","5.17"
"6pnn","5.16"
"6pno","5.32"
"6poi","3.49"
"6poq","2.57"
"6ppy","4.44"
"6prc","4.77"
"6prf","8.60"
"6prg","3.70"
"6prt","2.67"
"6iji","9.36"
"6ijl","7.93"
"6ikm","8.57"
"6ilq","6.36"
"6ilz","6.47"
"6im4","7.40"
"6im6","4.68"
"6imb","4.23"
"6imd","4.23"
"6imi","4.58"
"6imo","6.19"
"6m88","5.96"
"6m89","5.64"
"6m8a","5.26"
"6m8b","5.36"
"6m8c","5.66"
"6m8d","5.14"
"6m8e","4.85"
"6m8q","6.43"
"6m8w","6.22"
"6m8y","6.38"
"6m95","6.85"
"6m9c","7.25"
"6m9d","7.35"
"6q89","9.85"
"6q8a","8.01"
"6q8b","7.53"
"6q8c","7.68"
"6q8k","6.54"
"6q8p","7.74"
"6q92","6.10"
"6q96","10.00"
"6q9h","8.11"
"6q9l","8.41"
"6q9o","8.47"
"6q9q","6.84"
"6q9s","7.77"
"6q9t","7.52"
"6rjp","8.96"
"6rk4","4.01"
"6rln","8.20"
"6rmf","8.00"
"6rml","5.82"
"6rmm","4.69"
"6rn6","6.80"
"6rn7","7.30"
"6rn9","8.20"
"6rna","8.30"
"6rne","8.80"
"6rni","9.40"
"6rnt","2.37"
"6rnu","4.00"
"6nao","6.70"
"6ncj","7.62"
"6ncn","3.05"
"6nco","4.52"
"6ncp","5.74"
"6nd3","4.59"
"6ndl","7.19"
"6ne5","10.52"
"6nel","7.96"
"6nem","7.92"
"6nfg","4.11"
"6nfh","7.15"
"5zma","5.52"
"5zml","8.11"
"5zmq","4.74"
"5zms","5.23"
"5znc","7.52"
"5zni","4.39"
"5znl","8.77"
"5znp","4.69"
"5znr","4.67"
"6egs","3.59"
"6egw","5.57"
"6eh2","4.00"
"6ehh","7.49"
"6ei4","5.28"
"6ei5","7.42"
"6eif","6.98"
"6eij","5.77"
"6eil","5.55"
"6i11","4.53"
"6i12","5.57"
"6i13","5.12"
"6i14","5.82"
"6i17","6.60"
"6i18","4.07"
"6i1r","5.84"
"6i3s","7.05"
"6i3u","9.22"
"6i41","4.21"
"6i4x","4.90"
"6i5g","4.89"
"6i5i","8.05"
"6i5j","5.85"
"6csp","8.52"
"6csq","6.39"
"6csr","6.84"
"6css","7.60"
"6ct7","7.00"
"6cus","4.89"
"6cv8","3.17"
"6cvd","4.00"
"6cve","6.80"
"6pys","7.15"
"6pyu","8.00"
"6pz4","9.40"
"6q2y","5.26"
"6q30","5.52"
"6q35","4.82"
"6q36","7.60"
"6q38","6.38"
"6q39","7.85"
"6hhp","7.49"
"6hhr","7.01"
"6hjj","5.77"
"6hjk","7.60"
"6hk3","7.50"
"6hk6","6.41"
"6hk7","7.34"
"6hke","7.68"
"6mnc","5.80"
"6mnf","5.89"
"6mnp","3.71"
"6mnv","3.37"
"6mny","8.82"
"6mo0","6.23"
"6mo1","6.54"
"6mo2","6.68"
"6mo4","8.34"
"6mo5","9.52"
"6mo7","5.03"
"6mo8","5.84"
"6mo9","5.81"
"6moa","7.08"
"6mob","8.15"
"6mod","9.15"
"6pf5","4.96"
"6pf6","4.74"
"6pfj","6.41"
"6pg3","3.32"
"6pg4","3.59"
"6pg5","4.96"
"6pg6","3.70"
"6pg7","4.66"
"6pg8","3.85"
"6pg9","4.92"
"6pga","4.54"
"6pgb","4.60"
"6pgc","5.35"
"6pge","3.62"
"6pgo","4.70"
"6slg","10.30"
"6sq0","9.10"
"6ssy","3.19"
"6st0","5.13"
"6std","8.64"
"6stl","8.80"
"6suo","9.40"
"6sy7","3.33"
"6sze","4.10"
"6ak5","6.12"
"6ak6","5.56"
"6akw","7.22"
"6alc","7.51"
"6alz","10.42"
"6am8","4.89"
"6ami","4.52"
"6an1","5.35"
"6anl","8.27"
"6aol","6.27"
"6e5t","6.55"
"6e5x","6.12"
"6e6j","8.10"
"6e6m","5.75"
"6e6v","7.77"
"6e6w","9.96"
"6e7j","9.48"
"6e7m","6.66"
"6e7r","6.83"
"6e7s","7.18"
"6e7t","6.89"
"6qft","7.46"
"6qfu","7.46"
"6qfv","7.31"
"6qfw","6.83"
"6qfx","7.70"
"6qg4","8.07"
"6qg7","6.83"
"6qge","5.68"
"6qgf","6.00"
"6qgg","6.30"
"6qgh","8.15"
"6qgj","9.00"
"6qzh","8.52"
"6qzr","7.52"
"6r0k","7.92"
"6r0s","4.40"
"6r0u","4.40"
"6r0v","4.96"
"6r0x","8.70"
"6r11","4.92"
"6r12","4.40"
"6r13","4.70"
"6r18","4.92"
"6r1a","4.35"
"6r1b","5.44"
"6r1c","4.92"
"6r1d","5.40"
"6g9u","6.43"
"6g9x","3.92"
"6gbe","3.50"
"6gbw","8.45"
"6gbx","7.70"
"6gch","4.70"
"6gcl","4.47"
"6gcw","8.64"
"6gcx","9.22"
"6gdg","8.74"
"6gdy","5.46"
"6ipl","3.82"
"6ipm","3.69"
"6iqg","8.00"
"6iql","9.37"
"6irt","3.81"
"6isd","8.24"
"6iso","4.60"
"6itj","7.97"
"6itp","4.65"
"6itq","4.69"
"6iuo","7.79"
"6iup","7.64"
"6ixd","9.80"
"6iyv","5.88"
"6iyw","7.23"
"6k4t","6.02"
"6k4x","6.66"
"6k5r","4.27"
"6k5t","4.24"
"6k9u","10.05"
"6kdi","6.72"
"6kdx","6.53"
"6kdz","8.54"
"6ke0","7.55"
"6keb","4.39"
"6kjd","5.05"
"6kjf","4.97"
"6ntj","6.47"
"6nu1","4.51"
"6nu5","5.15"
"6nv7","7.92"
"6nv9","8.19"
"6nvg","8.07"
"6nvj","8.28"
"6nvl","7.95"
"5y7w","7.70"
"5y7z","7.81"
"5y80","8.79"
"5y86","6.10"
"5y8c","6.80"
"5y8w","6.64"
"5y8y","7.09"
"5y8z","6.21"
"6mxd","5.23"
"6n3k","7.54"
"6n9t","4.15"
"6nfi","7.05"
"6nm4","7.06"
"6nrg","7.25"
"6nti","4.57"
"6nw3","7.66"
"6nyw","6.64"
"6nzr","9.30"
"6ow2","8.52"
"6oxw","10.55"
"6p3w","6.26"
"6p8z","4.70"
"6pi7","6.17"
"5zyj","7.21"
"5zyk","6.74"
"5zyl","7.06"
"5zym","5.77"
"5zys","6.27"
"5zz2","8.85"
"5zz4","9.17"
"5zzw","5.51"
"6a03","5.25"
"6a04","5.21"
"6oag","5.43"
"6oah","5.82"
"6oco","6.32"
"6ocq","6.70"
"6ocu","8.05"
"6ocw","8.15"
"6ocz","8.52"
"6od6","8.21"
"6ode","8.10"
"6odz","9.15"
"6oe0","8.92"
"6oe1","8.51"
"6oe3","8.32"
"6of5","5.35"
"6oh2","5.20"
"6oh3","3.32"
"6q9w","6.24"
"6q9y","5.43"
"6qaa","7.66"
"6qab","8.21"
"6qac","8.21"
"6qad","7.85"
"6qae","8.52"
"6qaf","7.42"
"6qas","7.74"
"6qat","7.33"
"6qav","8.31"
"6qc0","7.24"
"6s55","6.20"
"6s56","5.10"
"6s57","5.10"
"6s5k","7.32"
"6s7k","4.24"
"6s7s","4.77"
"6s7z","5.66"
"6s88","6.17"
"6s89","8.07"
"6s8a","8.07"
"6hrz","4.00"
"6hs0","5.50"
"6hs4","5.51"
"6hsh","7.55"
"6hsk","7.03"
"6hsz","6.94"
"6ht1","7.11"
"6ht8","6.72"
"6htc","5.96"
"6htd","8.00"
"6htg","7.17"
"6hth","7.12"
"6hti","7.01"
"6htn","6.07"
"6htp","6.80"
"6ow7","9.00"
"6ox0","4.85"
"6oxl","5.52"
"6oxp","11.00"
"6oxs","9.96"
"6oxt","9.95"
"6oxu","10.02"
"6oxv","10.70"
"6mep","7.35"
"6mey","3.32"
"6mg5","4.69"
"6mh1","5.92"
"6mh7","5.74"
"6mhc","6.43"
"6mhd","7.29"
"6mhm","7.54"
"6mi6","4.54"
"6mia","2.60"
"6mil","5.41"
"6n55","7.87"
"6n5c","6.43"
"6n5f","6.86"
"6n5g","7.00"
"6n5h","6.45"
"6n5x","4.60"
"6n69","4.30"
"6n6o","9.15"
"6n77","9.24"
"6iae","4.70"
"6iam","6.85"
"6iar","7.60"
"6ib0","7.40"
"6ibk","3.29"
"6ibl","9.31"
"6ibs","4.96"
"6ibv","5.23"
"6ibx","8.70"
"6udy","7.57"
"6ueg","4.71"
"6uf0","7.14"
"6ufn","5.64"
"6ufo","4.46"
"6ugn","6.12"
"6ugo","7.59"
"6ugp","6.16"
"6ugq","7.55"
"6ugr","6.27"
"6ugz","7.72"
"6uh0","6.07"
"6uhu","3.40"
"6uhv","6.92"
"6uii","6.43"
"6uil","7.10"
"6dgq","5.51"
"6dgr","4.91"
"6dgt","7.38"
"6dgy","11.30"
"6dgz","11.30"
"6dh0","10.59"
"6dh2","10.89"
"6dh3","11.30"
"6dh4","11.30"
"6dh5","11.30"
"6dh6","9.93"
"6dh7","9.88"
"6dh8","9.84"
"6dha","5.68"
"6fv2","4.30"
"6fv4","2.92"
"6fvl","6.80"
"6fvm","6.60"
"6fvn","5.30"
"6fvo","5.55"
"6fx1","3.98"
"6fyi","6.70"
"6gvz","6.40"
"6gw4","5.92"
"6gwe","7.38"
"6gwr","8.10"
"6gx3","3.60"
"6gxa","4.22"
"6gxb","7.46"
"6gxe","8.05"
"6gxg","5.24"
"6gxq","7.10"
"6gxu","3.74"
"6gxw","3.36"
"6gxy","5.24"
"6gy0","7.32"
"6gy1","6.30"
"6hx5","5.66"
"6hx8","5.89"
"6hy2","7.30"
"6hy7","5.57"
"6hys","5.59"
"6hza","9.30"
"6hzb","8.98"
"6hzc","8.93"
"6hzd","9.17"
"6hzp","1.98"
"6hzu","8.26"
"6nmb","2.70"
"6nng","4.23"
"6nnr","5.07"
"6no9","10.52"
"6np2","6.80"
"6np3","6.47"
"6np4","4.44"
"6np5","4.57"
"6npe","6.30"
"6nze","8.89"
"6nzf","9.04"
"6nzg","7.70"
"6nzh","8.80"
"6nzk","4.30"
"6nzm","9.00"
"6nzp","9.70"
"6nzq","9.52"
"6qxd","6.02"
"6qxj","4.79"
"6qxs","7.13"
"6qxu","8.15"
"6qyk","5.55"
"6qyl","6.08"
"6qyn","7.62"
"6qyo","7.52"
"6qyp","7.15"
"6qz5","6.08"
"6qz6","6.49"
"6qz7","6.49"
"6qzb","6.47"
"6r7r","6.33"
"6r8i","6.03"
"6r8l","6.17"
"6r8o","8.22"
"6r8p","4.48"
"6r8q","6.92"
"6r8r","7.07"
"6r8w","5.92"
"6r9s","2.15"
"6r9u","2.12"
"6r9x","2.96"
"6ra1","2.00"
"5zdp","7.18"
"5ze6","3.35"
"5zee","2.80"
"5zef","1.75"
"5zeq","8.82"
"5zfi","5.92"
"5zg0","7.09"
"5zg1","7.72"
"5zg3","7.21"
"5zgg","5.00"
"5zh2","6.54"
"5zh3","4.67"
"5zh4","5.14"
"5zh5","5.33"
"5zhj","5.00"
"5zhl","6.72"
"6j06","6.59"
"6j0g","5.64"
"6j0k","5.64"
"6j0o","4.92"
"6j1l","6.42"
"6j3o","5.62"
"6j3p","6.98"
"6j5l","8.80"
"6j63","8.19"
"6j72","6.13"
"6j7e","5.04"
"6j7l","4.50"
"6c5q","6.66"
"6c5t","6.97"
"6c67","5.92"
"6c6o","8.30"
"6c7b","5.82"
"6c7d","9.77"
"6c7e","8.55"
"6c7f","9.62"
"6pu3","5.23"
"6pve","7.37"
"6pvs","8.17"
"6pvu","5.21"
"6pvv","5.85"
"6pvw","6.32"
"6pvx","7.17"
"6pvy","3.19"
"6pxc","6.47"
"6pya","6.82"
"6pyb","5.38"
"6pyc","7.45"
"6pyd","6.81"
"6pyr","9.00"
"6sdc","8.90"
"6sdd","8.40"
"6sde","10.20"
"6sen","5.55"
"6seo","4.74"
"6sfc","5.28"
"6sfi","7.59"
"6sfj","7.74"
"6sfk","7.15"
"6sge","7.51"
"6skb","7.70"
"6skc","7.10"
"6aeh","5.75"
"6aej","6.15"
"6af9","5.49"
"6afa","5.49"
"6afc","6.03"
"6afd","5.43"
"6afg","4.86"
"6afh","6.12"
"6mom","9.52"
"6moo","9.17"
"6mq3","8.77"
"6mqc","8.28"
"6mqe","11.29"
"6mqm","9.57"
"6mr5","7.30"
"6mrg","7.55"
"6ms1","5.22"
"6msa","7.08"
"6msc","7.68"
"6msn","4.95"
"6mso","5.42"
"6mt0","10.30"
"6om4","5.45"
"6om8","5.16"
"6omu","8.70"
"6oos","11.30"
"6oot","11.30"
"6oou","11.30"
"6ooy","4.66"
"6ooz","8.05"
"6op0","7.86"
"6op9","9.28"
"6oqb","10.30"
"6hcu","7.82"
"6hcv","8.30"
"6hcw","6.89"
"6hd4","8.64"
"6hd6","5.70"
"6hdn","4.30"
"6hdo","6.60"
"6hdq","7.00"
"6hf5","5.17"
"6hgf","5.02"
"6hgg","5.42"
"6jsn","8.42"
"6jt3","8.30"
"6jtc","5.07"
"6jut","8.68"
"6jwa","4.96"
"6jz0","7.82"
"6k04","8.04"
"6k05","6.56"
"6k1q","7.46"
"6k1s","7.70"
"6k2n","1.36"
"6k3l","7.22"
"6hoy","4.48"
"6hp0","4.92"
"6hp5","7.27"
"6hp9","8.25"
"6hpg","5.50"
"6hpw","6.09"
"6hq4","4.65"
"6hq7","6.11"
"6hv2","4.28"
"6hv4","6.23"
"6hv5","6.49"
"6hv7","5.19"
"6hva","6.28"
"6hvh","7.33"
"6hvi","6.42"
"6hvj","7.55"
"6hvr","6.48"
"6hck","4.60"
"6hgi","6.22"
"6hkj","9.00"
"6hmt","7.04"
"6hqy","6.44"
"6hvs","5.23"
"6i10","4.53"
"6i5n","5.85"
"6ia7","5.70"
"6imr","5.37"
"6imt","6.60"
"6ind","6.62"
"6ink","6.57"
"6inz","5.80"
"6ior","4.31"
"6ios","4.10"
"6iot","5.24"
"6iou","3.73"
"6iph","6.66"
"6ipi","5.71"
"6ipj","5.79"
"6n3l","7.57"
"6n3n","8.74"
"6n3o","8.62"
"6n3v","5.61"
"6n3w","5.81"
"6n3x","5.09"
"6n3y","5.44"
"6n3z","6.59"
"6n48","5.92"
"6n4b","10.01"
"6n4e","8.00"
"6n4t","8.09"
"6n53","7.87"
"6oxx","10.01"
"6oxz","9.67"
"6oy0","9.30"
"6oy1","10.24"
"6oy2","9.87"
"6oyh","6.98"
"6oyt","8.23"
"6oyw","8.40"
"6oyz","6.73"
"6rot","6.32"
"6rr0","7.15"
"6rrm","6.84"
"6rsa","4.40"
"6rtn","6.63"
"6rtw","6.43"
"6rvf","6.14"
"6rvk","6.36"
"6rvl","5.94"
"6h4s","7.42"
"6h4t","7.00"
"6h4u","6.16"
"6h4v","6.21"
"6h4w","6.97"
"6h4x","6.88"
"6h4y","7.11"
"6h4z","7.64"
"6p5o","4.54"
"6p5v","6.70"
"6p5w","5.29"
"6p7p","6.15"
"6p7q","5.36"
"6p83","7.10"
"6p84","4.81"
"6p85","4.99"
"6p86","4.70"
"6p87","4.60"
"6p88","4.52"
"6p89","5.01"
"6p8a","3.59"
"6p8x","5.56"
"6p8y","6.20"
"6ps0","9.94"
"6q7w","6.85"
"6q9u","5.89"
"6qcg","5.14"
"6qfq","7.10"
